iter	Passed	Remaining
814	134995	1190110
815	135172	1190049
816	135374	1190205
817	135550	1190128
818	135755	1190304
819	135927	1190193
820	136134	1190388
821	136317	1190375
822	136512	1190457
823	136708	1190558
824	136898	1190604
825	137084	1190607
826	137278	1190691
827	137459	1190649
828	137631	1190539
829	137773	1190167
830	137972	1190286
831	138122	1189980
832	138274	1189695
833	138445	1189572
834	138624	1189518
835	138853	1189885
836	139052	1190002
837	139246	1190078
838	139382	1189651
839	139554	1189536
840	139693	1189138
841	139870	1189068
842	140025	1188801
843	140207	1188773
844	140419	1188995
845	140614	1189077
846	140781	1188914
847	140953	1188798
848	141159	1188962
849	141322	1188767
850	141525	1188911
851	141689	1188726
852	141877	1188742
853	142039	1188537
854	142209	1188402
855	142400	1188441
856	142553	1188166
857	142733	1188113
858	142915	1188077
859	143091	1187995
860	143275	1187968
861	143447	1187855
862	143605	1187612
863	143798	1187669
864	143956	1187431
865	144134	1187363
866	144311	1187279
867	144513	1187411
868	144695	1187367
869	144858	1187176
870	145026	1187018
871	145230	1187159
872	145456	1187476
873	145648	1187515
874	146060	1189346
875	146269	1189526
876	146453	1189494
877	146637	1189467
878	146807	1189327
879	146989	1189280
880	147166	1189191
881	147362	1189257
882	147553	1189281
883	147722	1189132
884	147912	1189148
885	148073	1188933
886	148241	1188773
887	148409	1188612
888	148607	1188693
889	148796	1188701
890	148995	1188789
891	149201	1188929
892	149369	1188764
893	149543	1188650
894	149742	1188736
895	149908	1188560
896	150115	1188709
897	150312	1188774
898	150493	1188716
899	150671	1188634
900	150874	1188746
901	151024	1188436
902	151195	1188301
903	151382	1188284
904	151592	1188453
905	151776	1188410
906	151991	1188613
907	152191	1188699
908	152376	1188670
909	152546	1188525
910	152731	1188491
911	152941	1188651
912	153128	1188636
913	153259	1188184
914	153459	1188264
915	153623	1188067
916	153808	1188029
917	153999	1188047
918	154166	1187867
919	154397	1188189
920	154597	1188269
921	154829	1188594
922	154993	1188396
923	155173	1188317
924	155359	1188286
925	155508	1187975
926	155698	1187974
927	155869	1187835
928	156074	1187943
929	156241	1187773
930	156444	1187868
931	156641	1187918
932	156816	1187804
933	156990	1187681
934	157149	1187446
935	157322	1187313
936	157492	1187158
937	157657	1186966
938	157822	1186776
939	157984	1186566
940	158194	1186712
941	158341	1186381
942	158499	1186142
943	158678	1186052
944	158838	1185822
945	159018	1185749
946	159194	1185637
947	159378	1185587
948	159543	1185398
949	159715	1185259
950	159913	1185310
951	160084	1185163
952	160232	1184848
953	160407	1184728
954	160601	1184747
955	160789	1184728
956	160957	1184557
957	161141	1184504
958	161326	1184464
959	161475	1184156
960	161669	1184171
961	161856	1184144
962	162012	1183884
963	162177	1183694
964	162356	1183606
965	162536	1183520
966	162703	1183345
967	162875	1183205
968	163105	1183479
969	163295	1183472
970	163497	1183549
971	163673	1183435
972	164085	1185024
973	164276	1185016
974	164496	1185219
975	164663	1185040
976	164813	1184730
977	165006	1184739
978	165142	1184339
979	165299	1184084
980	165472	1183949
981	165649	1183839
982	165812	1183630
983	165996	1183568
984	166179	1183502
985	166340	1183276
986	166565	1183506
987	166755	1183488
988	166930	1183363
989	167121	1183358
990	167326	1183443
991	167494	1183268
992	167711	1183437
993	167908	1183465
994	168080	1183318
995	168262	1183242
996	168452	1183219
997	168652	1183274
998	168833	1183189
999	168985	1182899
1000	169176	1182881
1001	169367	1182865
1002	169543	1182747
1003	169755	1182878
1004	169933	1182768
1005	170102	1182602
1006	170298	1182618
1007	170461	1182409
1008	170644	1182335
1009	170833	1182302
1010	171011	1182193
1011	171177	1182003
1012	171369	1181996
1013	171544	1181864
1014	171790	1182226
1015	171971	1182137
1016	172161	1182108
1017	172330	1181933
1018	172555	1182148
1019	172685	1181711
1020	172843	1181466
1021	173012	1181294
1022	173185	1181150
1023	173350	1180947
1024	173532	1180869
1025	173832	1181584
1026	174003	1181427
1027	174186	1181350
1028	174397	1181460
1029	174587	1181434
1030	174773	1181372
1031	174952	1181266
1032	175158	1181346
1033	175330	1181190
1034	175532	1181237
1035	175722	1181208
1036	175937	1181345
1037	176128	1181315
1038	176328	1181346
1039	176503	1181213
1040	176688	1181147
1041	176875	1181092
1042	177055	1180995
1043	177215	1180759
1044	177371	1180494
1045	177557	1180438
1046	177734	1180311
1047	177913	1180205
1048	178104	1180174
1049	178265	1179945
1050	178457	1179923
1051	178621	1179715
1052	178826	1179781
1053	179002	1179652
1054	179204	1179692
1055	179382	1179574
1056	179574	1179553
1057	179775	1179586
1058	179987	1179693
1059	180204	1179828
1060	180388	1179751
1061	180826	1181333
1062	181007	1181234
1063	181143	1180840
1064	181316	1180687
1065	181489	1180531
1066	181647	1180282
1067	181834	1180220
1068	182017	1180133
1069	182186	1179954
1070	182344	1179705
1071	182532	1179648
1072	182692	1179412
1073	182873	1179311
1074	183029	1179048
1075	183217	1178991
1076	183381	1178785
1077	183592	1178871
1078	183774	1178777
1079	183951	1178653
1080	184114	1178437
1081	184259	1178103
1082	184417	1177853
1083	184609	1177823
1084	184787	1177699
1085	184949	1177477
1086	185135	1177407
1087	185327	1177374
1088	185487	1177137
1089	185686	1177148
1090	185851	1176947
1091	186014	1176729
1092	186196	1176631
1093	186400	1176676
1094	186593	1176644
1095	186792	1176658
1096	186951	1176416
1097	187142	1176372
1098	187323	1176268
1099	187525	1176296
1100	187701	1176160
1101	187875	1176009
1102	188052	1175882
1103	188253	1175900
1104	188448	1175887
1105	188631	1175789
1106	188796	1175585
1107	189009	1175679
1108	189173	1175468
1109	189360	1175401
1110	189549	1175340
1111	189730	1175238
1112	189910	1175124
1113	190060	1174828
1114	190256	1174811
1115	190434	1174685
1116	190601	1174491
1117	190808	1174549
1118	190972	1174336
1119	191196	1174490
1120	191376	1174377
1121	191556	1174262
1122	191743	1174192
1123	191919	1174058
1124	192082	1173840
1125	192275	1173801
1126	192442	1173607
1127	192641	1173608
1128	192851	1173677
1129	193071	1173808
1130	193288	1173918
1131	193456	1173727
1132	193660	1173757
1133	193850	1173699
1134	194069	1173822
1135	194245	1173677
1136	194440	1173653
1137	194601	1173424
1138	194805	1173448
1139	194998	1173413
1140	195163	1173205
1141	195354	1173150
1142	195533	1173029
1143	195725	1172982
1144	196118	1174139
1145	196295	1174004
1146	196486	1173953
1147	196702	1174046
1148	196865	1173825
1149	197028	1173603
1150	197220	1173558
1151	197427	1173597
1152	197618	1173543
1153	197785	1173342
1154	197960	1173194
1155	198146	1173112
1156	198351	1173138
1157	198522	1172960
1158	198705	1172862
1159	198863	1172610
1160	199040	1172470
1161	199227	1172393
1162	199419	1172340
1163	199599	1172215
1164	199752	1171939
1165	199924	1171769
1166	200108	1171669
1167	200314	1171700
1168	200481	1171503
1169	200662	1171387
1170	200790	1170965
1171	200948	1170714
1172	201130	1170604
1173	201329	1170593
1174	201523	1170550
1175	201724	1170551
1176	201923	1170539
1177	202123	1170530
1178	202299	1170388
1179	202476	1170243
1180	202685	1170290
1181	202870	1170195
1182	203048	1170060
1183	203277	1170217
1184	203433	1169957
1185	203599	1169754
1186	203766	1169556
1187	203953	1169472
1188	204154	1169464
1189	204347	1169417
1190	204537	1169352
1191	204741	1169363
1192	204946	1169380
1193	205128	1169265
1194	205309	1169146
1195	205512	1169154
1196	205705	1169100
1197	205938	1169274
1198	206158	1169380
1199	206333	1169223
1200	206532	1169202
1201	206742	1169249
1202	206918	1169099
1203	207134	1169172
1204	207303	1168987
1205	207495	1168926
1206	207700	1168938
1207	207882	1168822
1208	208085	1168825
1209	208259	1168661
1210	208442	1168554
1211	208606	1168331
1212	208814	1168360
1213	208996	1168246
1214	209403	1169387
1215	209620	1169462
1216	209844	1169577
1217	210028	1169468
1218	210193	1169254
